boosting_type,class_weight,colsample_bytree,learning_rate,min_child_samples,num_leaves,reg_alpha,reg_lambda,subsample_for_bin,subsample,loss,iteration
dart,balanced,0.8464791720356762,0.10875645732896141,380,112,0.002436386070584051,0.09460288039448272,180000,0.7153773885862027,0.22186392819930775,19
dart,,0.7761517306398857,0.04822081312177344,295,135,0.10660182374307985,0.7377728606578648,200000,0.6928598751445862,0.22212958316793674,76
dart,,0.8808471438594588,0.018472209918598485,290,120,0.0060269086720801885,0.6764143812874365,300000,0.7476756643878156,0.222344320432478,59
dart,,0.8631279345407479,0.019967535471770378,320,135,0.005375768864854346,0.5599015445639138,260000,0.803409898600641,0.2225483755383698,66
dart,,0.7474251457367085,0.054297627977769054,340,128,0.33708537659387966,0.8095121083674277,200000,0.7312571986728339,0.22258173795487332,80
dart,,0.7848037264006568,0.08434778950931832,260,74,0.134378958446945,0.6961438309270402,160000,0.7456898941832942,0.22264723260215347,84
dart,balanced,0.8892338364706682,0.020447639657736688,310,129,0.0056150460941955605,0.6795079915556588,260000,0.505979673528718,0.22284510681687972,57
dart,,0.7626459087600246,0.04547184813655409,295,143,0.20322685309961958,0.7982716803466197,200000,0.6959459672727453,0.2228986896363787,78
gbdt,balanced,0.9845360000051826,0.027731598208722782,315,147,0.08089352408468478,0.8348873184759018,160000,0.9880005206707034,0.22319028521091533,22
dart,,0.9044475334151143,0.031059036070044746,330,112,0.2069977851604112,0.18377682683243385,180000,0.5352251148244691,0.223228783446191,96
dart,,0.794231768867593,0.018721971704827763,320,103,0.23085822451324997,0.5968659922079567,260000,0.9980346078774807,0.22331912546881894,72
dart,balanced,0.908910368150232,0.01680816489446182,330,47,0.3994815957659703,0.22197611686147944,220000,0.6964068327769579,0.223523934803922,47
gbdt,balanced,0.9258165744006049,0.029426607830235967,290,85,0.09358892014714626,0.2767185742768594,180000,0.8836787849259099,0.22369719841616909,26
dart,,0.7180851589804496,0.030760511151133107,360,106,0.10660259600119232,0.27159796074479736,20000,0.6445437610492852,0.22383340210939429,63
dart,,0.7174610517575778,0.010036619726636652,275,120,0.5885535109969108,0.2501740332966912,100000,0.8317352277778144,0.22402145596131395,99
